,Team,Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,Points Scored,Ranking,Record,Points,Predicted Points Scored,Offensive Efficiency
43,Tennessee,2024-11-13,Montana,W 92-57,0,31,51,9,21,21,25,92,7,31,38,24,13,6,6,16,92,1,10-0,1537,94.65470510727366,111.46671668656968
44,Tennessee,2024-11-17,Austin Peay,W 103-68,0,37,58,5,14,24,33,103,13,30,43,22,11,10,10,17,103,1,10-0,1537,95.83060418842831,112.85147204112408
45,Tennessee,2024-11-21,"Virginia
@Nassau, Bahamas (2024-25 MBB Baha Mar Championship)",W 64-42,0,25,66,9,25,5,10,64,18,25,43,11,7,8,7,12,64,1,10-0,1537,71.17859234515159,83.82091495709668
46,Tennessee,2024-11-22,"Baylor
@Nassau, Bahamas (2024-25 MBB Baha Mar Championship)",W 77-62,0,24,46,12,27,17,22,77,9,19,28,18,15,8,4,14,77,1,10-0,1537,83.92310360863637,98.82903129643428
47,Tennessee,2024-11-27,UT Martin,W 78-35,0,30,63,10,37,8,10,78,20,29,49,22,11,6,9,8,78,1,10-0,1537,90.61896511734365,106.71417231417568
48,Tennessee,2024-12-03,Syracuse,W 96-70,0,35,65,10,29,16,24,96,13,27,40,16,8,9,3,18,96,1,10-0,1537,87.94135196667747,103.56097727623981
49,Tennessee,2024-12-10,"Miami (FL)
@New York, NY (2024-25 MBB Jimmy V Classic)",W 75-62,0,25,52,10,25,15,18,75,5,30,35,16,11,5,5,10,75,1,10-0,1537,79.97156883942422,94.17564818042631
50,Tennessee,2024-12-14,@ Illinois,W 66-64,0,20,62,6,24,20,28,66,17,25,42,6,6,7,4,24,66,1,10-0,1537,73.26424150942417,86.27700484970244
51,Tennessee,2024-12-17,Western Caro.,W 84-36,0,32,69,8,27,12,14,84,14,34,48,22,10,17,6,8,84,1,10-0,1537,90.80235479521929,106.9301345871957
52,Marquette,2024-11-04,Stony Brook,W 102-62,0,40,68,9,31,13,17,0,13,30,43,22,7,10,2,16,102,9,9-2,926,94.77897574711592,111.61305954599815
53,Marquette,2024-11-08,George Mason,W 82-63,0,26,67,11,35,19,26,82,14,27,41,16,9,13,7,15,82,9,9-2,926,90.9788651788783,107.13799570625216
54,Marquette,2024-11-11,Central Mich.,W 70-62,0,20,55,10,36,20,25,70,6,21,27,16,12,0,6,21,70,9,9-2,926,87.68415193804097,103.25809489240785
55,Marquette,2024-11-15,@ Maryland,W 78-74,0,26,58,8,23,18,24,78,10,20,30,10,8,7,0,18,78,9,9-2,926,75.43516754021095,88.83351798390918
56,Marquette,2024-11-19,Purdue,W 76-58,0,27,60,8,25,14,15,76,6,27,33,13,6,11,5,17,76,9,9-2,926,76.45703061029579,90.0368783577704
57,Marquette,2024-11-23,"Georgia
@Paradise Island, Bahamas",W 80-69,0,29,58,11,27,11,15,80,8,23,31,13,13,13,2,18,80,9,9-2,926,74.29356608618197,87.48915199913313
58,Marquette,2024-11-27,Stonehill,W 94-59,0,37,61,10,21,10,17,94,12,20,32,15,10,11,2,7,94,9,9-2,926,78.35822486203638,92.27575154199016
59,Marquette,2024-11-30,Western Caro.,W 94-62,0,37,72,14,40,6,10,94,9,29,38,21,13,15,5,16,94,9,9-2,926,90.20990223119583,106.23245408595288
60,Marquette,2024-12-04,@ Iowa St.,L 70-81,0,27,70,11,31,5,10,70,16,21,37,15,11,4,5,19,70,9,9-2,926,78.47321285556276,92.4111630261022
61,Marquette,2024-12-07,Wisconsin,W 88-74,0,31,62,8,26,18,21,88,11,19,30,17,5,9,3,17,88,9,9-2,926,87.43086264670691,102.9598178480192
62,Marquette,2024-12-14,@ Dayton,L 63-71,0,22,54,9,29,10,15,63,11,20,31,8,13,2,4,17,63,9,9-2,926,66.53166433133404,78.34862694149247
63,Cincinnati,2024-11-04,Ark.-Pine Bluff,W 109-54,0,0,72,12,24,13,23,109,17,31,48,27,9,10,7,12,109,19,8-1,325,103.92224076828329,122.38029748255552
64,Cincinnati,2024-11-08,Morehead St.,W 83-56,0,33,55,6,16,11,15,83,5,25,30,18,4,3,5,14,83,19,8-1,325,81.50180546172543,95.97767642453897
65,Cincinnati,2024-11-15,Nicholls,W 86-49,0,33,61,11,27,9,14,86,15,31,46,18,12,6,0,6,86,19,8-1,325,82.625810417332,97.3013205244166
