Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
Iowa St. (5-1),02/22/2025 02:00 PM,@ Houston,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),02/25/2025 08:00 PM,@ Oklahoma St.,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),03/01/2025 09:00 PM,Arizona,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),03/04/2025 09:00 PM,BYU,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),03/08/2025 01:30 PM,@ Kansas St.,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),Totals,2000:00,306,608,78,222,184,243,874,111,256,367,174,94,98,29,146,1,1,MISSING
Iowa St. (5-1),Defensive Totals,2000:00,230,564,77,239,112,146,649,86,217,303,128,163,57,25,189,2,,MISSING
Oklahoma (5-0),11/04/2024,Lindenwood,W 93-60,198:32,34,65,14,34,11,17,93,11,32,43,23,12,9,4,16,1
Oklahoma (5-0),11/11/2024,Northwestern St.,W 73-57,200:00,25,58,6,21,17,22,73,10,22,32,10,9,16,1,14,1
Oklahoma (5-0),11/16/2024,Stetson,W 85-64,200:00,34,69,9,24,8,10,85,15,20,35,21,11,12,,12,0
Oklahoma (5-0),11/21/2024,East Texas A&M,W 84-56,200:00,28,59,10,32,18,22,84,9,29,38,16,10,10,1,15,
Oklahoma (5-0),11/27/2024,"Providence
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 79-77,200:00,25,49,7,19,22,29,79,5,20,25,11,13,12,2,20,1
Oklahoma (5-0),11/28/2024,"Arizona
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 82-77,200:00,25,58,12,29,20,21,82,15,23,38,17,17,7,4,18,
Oklahoma (5-0),11/29/2024,"Louisville
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 69-64,200:00,21,44,8,17,19,25,69,4,19,23,14,10,9,1,17,
Oklahoma (5-0),12/03/2024,Georgia Tech,W 76-61,200:00,20,52,10,28,26,30,76,9,28,37,7,7,8,1,16,
Oklahoma (5-0),12/07/2024,Alcorn,W 94-78,200:00,35,64,12,37,12,14,94,10,21,31,24,12,12,1,14,
Oklahoma (5-0),12/14/2024,"Oklahoma St.
@Oklahoma CIty, OK",W 80-65,200:00,30,61,8,23,12,19,80,10,26,36,12,12,7,4,22,
Oklahoma (5-0),12/18/2024 09:00 PM,"Michigan
@Charlotte, NC (2024-25 MBB Jumpman Invitational )",,,,,,,,,,,,,,,,,,
Oklahoma (5-0),12/22/2024 01:00 PM,Central Ark.,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),12/29/2024 02:00 PM,Prairie View,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),01/04/2025 TBA,@ Alabama,,,,,,,,,,,,,,,,,,
